10000
15310	29941	22445	17182	44356	25464	34072	48787	49121	8788	34212	10833	6000	5730	43418	21237	6039	10331	38997	17439	35704	18425	16592	23462	13280	35923	28358	11789	20954	28780	16738	7416	41024	40908	23623	29912	21224	24355	43132	24985	3070	31678	39621	21602	44935	6226	24741	23634	21262	25463	26261	33065	30740	34617	48536	36667	370	16244	21156	16617	32087	44143	36046	16826	36850	1480	30949	24596	12647	12537	46823	29791	33213	37878	41044	3378	38126	27706	6731	26963	23028	12479	31621	15474	31290	43729	41083	42508	11801	2298	22360	42953	12670	48270	5439	5787	38508	49762	6287	17386
33030	36728	7101	31545	48328	47570	17367	24780	44034	39746	19207	13193	32641	24088	9619	5147	38741	49416	38288	46790	45635	18019	48666	28476	42969	819	28345	35760	33377	43266	9989	10079	8747	5117	25686	32125	39503	1945	24155	18776	2300	42255	13930	46433	23022	14793	28289	37097	9523	49533	44743	15346	4881	26869	8439	40624	44714	32811	31224	10620	40052	2406	47734	49293	37759	45413	31624	9258	14504	28784	2144	12971	30418	21165	11654	31172	5580	26709	2563	48220	47170	31634	6035	33634	27788	17364	4193	41167	11205	28378	48535	44834	22974	19777	41383	3845	7434	25944	32819	37479
13438	25107	30662	19813	3394	10921	38124	11664	12722	6132	31420	13466	49441	8263	6431	16483	32791	10558	43432	8510	29311	32890	34520	39423	49529	11111	18198	24197	46502	32018	43259	16716	47949	38349	47822	37648	32763	27706	40289	22717	44325	35414	13919	5114	48621	5613	8358	16243	39350	49884	7182	20006	43790	4837	39855	10341	7869	4493	31495	43089	15767	48692	22622	44773	30373	9730	37847	41546	6308	5721	47872	48286	22838	38792	27484	49713	1992	36630	18502	17686	37134	36647	37803	16497	40486	33739	10269	17110	33336	24058	44881	3066	760	34617	48536	32524	10255	31586	9289	48262
655	27960	843	31039	10740	10009	12213	17833	6768	42124	45443	24724	8859	10665	9461	43176	37981	9875	13602	38411	27029	29060	104	10250	20390	26990	35046	20446	43805	49016	44413	18051	16652	7316	26606	33308	26329	26236	30688	44276	2489	11831	45413	24427	24200	26147	11436	42390	8380	38047	1388	12953	45661	16099	5326	1329	28196	361	49744	15248	5469	7598	3307	7614	17379	25480	18347	17861	46839	21346	49985	5746	16131	33949	37543	33216	35888	16284	32349	36872	15398	3193	31914	42084	27173	36750	19433	3653	23976	27198	27487	6488	33797	3244	5111	32378	30318	13758	43647	34677
15841	19829	16936	36569	12844	18740	47666	45916	10953	189	18784	39010	28102	46149	42297	8229	33786	3078	18887	30802	32776	5845	26933	27933	24623	39508	42794	42606	3644	22465	18476	49154	29901	8478	20114	49184	25241	30633	8791	24236	48689	23239	17341	42261	45684	22142	6070	10912	40846	7299	29430	18649	42753	12763	17166	17043	49668	48418	3357	40054	9247	14618	12990	3970	45478	46537	42449	13848	26720	42231	15635	41749	30013	36667	9682	30329	9045	11056	28564	28849	3788	45081	27620	13672	7949	17079	30341	37392	13425	2642	41847	21797	7937	38469	22845	19408	4135	23211	7007	43968
20702	48704	13285	5362	39619	17982	5089	8970	33706	41012	2937	49220	6731	34207	861	43369	27518	12152	15270	35638	19778	35014	15920	47375	1475	48640	10587	48634	47749	31818	44638	8216	36431	48022	38669	28498	763	47415	39948	42798	25212	33810	32600	31051	47963	4432	21484	35158	20098	6462	19841	11963	39781	34970	47064	37643	583	4832	23221	25403	24719	10838	13312	46391	42907	385	40585	4722	7890	42467	6601	8551	43451	34049	41848	17139	23758	21316	13720	3539	5539	36675	20256	5116	2451	31569	15225	689	45706	35229	21220	35487	15655	18206	9557	16269	3134	33554	34217	37602
7356	44171	38130	30301	35759	12076	23659	12768	34197	35826	6283	3217	19149	41193	27504	18969	29195	9185	47738	25656	14117	35832	8081	42300	38893	26131	23261	15074	14314	33506	13625	551	34815	36800	28070	4311	11000	45054	38664	12841	16265	32356	30799	3760	17172	42751	34738	31463	36236	29120	13363	3760	38920	20163	6307	8039	14429	8152	12695	38559	6881	12239	22064	35544	27302	22809	16423	11595	18164	43706	45916	38359	41980	20071	31705	13584	17505	4474	21260	19822	15782	44628	46588	18132	38719	49778	38450	3375	13169	27834	43382	4338	372	41418	35087	411	17902	15943	9058	29371
34925	44617	2489	655	6658	770	42925	41337	41587	25713	45407	3052	10195	22843	37545	43469	3709	29351	30810	1466	11019	35292	31775	8543	20538	25283	14460	13013	24381	36360	9380	19347	23799	31351	48904	48017	38406	48969	4097	32520	47519	15297	7810	41805	49562	41952	34099	49487	19255	30273	24053	15492	31434	25943	5658	31288	16363	36807	2953	30844	12967	13666	9870	12096	38471	41746	25311	47992	21457	21029	39236	10609	30046	40252	22831	35035	22311	25745	1547	37996	27530	27274	30868	23820	37294	38454	7360	25959	41806	25225	25896	11997	48367	14191	34845	10625	12370	12688	8868	3239
41125	8615	16185	27683	5288	720	23720	43696	13713	17205	14461	22977	40750	21411	11451	26979	33424	46002	23903	14771	34654	43834	23303	5027	13725	23461	41429	27973	6002	36465	33636	43441	34518	31951	23448	20142	44270	12638	23721	9356	2924	44417	21377	11578	20186	46350	26670	17248	20144	12804	30189	13037	23295	15962	10938	19784	1864	5009	6695	39452	15754	15839	7890	22450	12861	5354	32802	25183	30515	3918	27350	42144	10198	20402	24777	35417	14431	45186	8537	12430	34538	2284	32329	36105	48089	9249	2344	49062	733	16080	39129	7213	12100	13387	44117	5389	1696	18692	3647	21361
12467	22604	43632	36541	8923	20128	31689	1169	37398	37749	22018	30492	28049	31012	32611	27965	15323	8742	35813	8221	929	16704	18440	46877	17863	42018	23947	34596	4440	5535	33650	37643	14636	40056	20437	38228	34168	39367	34333	16363	33890	43638	32142	28870	2418	7457	27453	48797	44820	17566	42840	7826	33706	27557	43415	32671	37565	14129	43043	37056	12448	7216	27229	13212	10990	32023	15901	17031	21849	27372	44451	44943	12783	17481	4291	6492	11388	30679	34631	33839	11181	15799	17357	611	13826	31446	16117	29378	17838	9903	4554	42973	23080	47182	8878	45950	26226	40594	16879	10093
